Quote_ID,Agency,Issued,Quote_Platform,Eff_Date,Liab_Only,ST,Zipcode,Terr,Min_Veh_Yr,Max_Veh_Yr,MultiProduct_Discount,Life_Discount,MultiCar,Acc_Viol_Score,Ins_Score,BI_Limit,Driver1_Age,Driver2_Age
954903671,Epsilon,Y,eQuote,201903,N,IN,47060,38,2001,2004,Auto Home,N,Y,2,800-824,100/300,20-24,55-59
954905712,Gamma,N,eQuote,201903,N,IN,47031,92,1996,2003,Auto Home,N,Y,0,850-874,250/500,50-54,55-59
954908074,Alpha,N,eQuote,201903,N,IN,47025,38,2001,2011,Auto Home,N,Y,0,800-824,100/300,20-24,45-49
955001034,Epsilon,N,eQuote,201903,N,IN,47025,38,2005,2013,Auto Home,N,Y,0,750-774,100/300,<20,35-39
955105734,Epsilon,N,eQuote,201903,N,IN,47001,38,2000,2013,Homeowner,N,Y,0,850-874,100/300,50-54,50-54
955108155,Alpha,N,eQuote,201903,N,IN,47025,38,2003,2017,Auto Home,N,Y,2,575-599,100/300,<20,40-44
955108307,Kappa,N,eQuote,201903,N,IN,47060,38,2000,2003,Auto Home,N,Y,0,800-824,100/300,20-24,55-59
955403275,Epsilon,N,APPLIED,201903,N,IN,47060,38,1999,2011,Auto Home,N,Y,0,700-724,300 CSL,50-54,50-54
955408057,Kappa,N,eQuote,201903,N,IN,47025,38,2013,2014,Auto Home,N,Y,1,700-724,100/300,20-24,20-24
955502742,Gamma,N,eQuote,201903,N,IN,47022,38,2008,2008,None,N,N,0,550-574,100/300,25-29,25-29
955504854,Alpha,N,PLRATING,201903,N,IN,47034,92,1998,2004,None,N,Y,0,600-624,100 CSL,40-44,40-44
955600145,Epsilon,N,eQuote,201903,Y,IN,47025,38,2006,2006,Auto Home,N,N,0,525-549,50/100,25-29,25-29
955603781,Epsilon,N,eQuote,201903,N,IN,47203,32,2007,2007,Auto Home,N,N,0,600-624,100/300,20-24,20-24
1254502409,Alpha,N,eQuote,201903,N,IN,46733,7,2007,2012,Auto Home,N,Y,0,675-699,250/500,20-24,20-24
1255005178,Alpha,N,PLRATING,201903,N,IN,46795,65,2001,2007,Auto Home,N,Y,0,800-824,250/500,<20,45-49
1255103131,Alpha,N,eQuote,201903,N,IN,46845,3,2007,2012,Auto Home,N,Y,1,725-749,"500/1,000",60-64,65-69
2154600574,Theta,N,eQuote,201903,N,IN,46765,3,2010,2010,Auto Home,N,N,0,925-949,100/300,80-84,80-84
2154802761,Alpha,N,eQuote,201903,N,IN,46815,3,2006,2006,Auto Home,N,Y,0,750-774,250/500,40-44,40-44
2154809958,Theta,N,eQuote,201903,N,IN,46788,3,1999,1999,Auto Home,N,Y,0,875-899,250/500,80-84,80-84
2154900395,Delta,N,PLRATING,201903,N,IN,46732,64,2010,2015,Auto Home,N,Y,0,575-599,100/300,<20,45-49
2154901955,Theta,N,eQuote,201903,Y,IN,46793,40,2004,2004,Auto Home,N,N,0,725-749,100/300,40-44,70-74
2154902267,Theta,N,eQuote,201903,N,IN,46765,3,2002,2012,Auto Home,N,Y,0,800-824,250/500,40-44,40-44
2154904330,Delta,N,PLRATING,201903,N,IN,46703,101,1999,2012,None,N,Y,0,600-624,100/300,40-44,40-44
2154904545,Alpha,N,eQuote,201903,N,IN,46706,40,2003,2006,None,N,Y,0,600-624,250/500,<20,45-49
2154905661,Alpha,N,eQuote,201903,N,IN,46845,3,2011,2015,Auto Home,N,Y,0,825-849,500 CSL,25-29,25-29
2154905666,Alpha,N,eQuote,201903,Y,IN,46703,101,1996,1998,Auto Home,N,Y,0,700-724,300 CSL,20-24,20-24
2154906270,Delta,N,eQuote,201903,N,IN,46767,84,2016,2016,Auto Home,N,N,2,575-599,50/100,80-84,80-84
2154909072,Delta,N,PLRATING,201903,N,IN,46755,84,2007,2010,Auto Home,N,Y,0,850-874,250/500,20-24,60-64
2155000063,Gamma,N,eQuote,201903,N,IN,46526,29,2014,2014,Auto Home,N,Y,0,650-674,500 CSL,35-39,35-39
2155000330,Theta,N,eQuote,201903,N,IN,46818,3,2002,2003,Auto Home,N,Y,0,600-624,100/300,45-49,45-49
2155000931,Theta,N,eQuote,201903,N,IN,46806,3,1997,2007,Auto Home,N,Y,0,700-724,100/300,40-44,60-64
2155004951,Alpha,N,eQuote,201903,N,IN,46710,84,1999,2013,Auto Home,N,Y,0,600-624,100/300,40-44,40-44
2155007266,Delta,N,PLRATING,201903,N,IN,46514,29,2000,2010,Auto Home,N,Y,0,875-899,100/300,<20,70-74
2155007291,Delta,N,PLRATING,201903,N,IN,46706,40,1998,2011,Auto Home,N,Y,0,825-849,100/300,40-44,40-44
2155007535,Alpha,N,eQuote,201903,N,IN,46774,3,1997,2007,None,N,Y,2,500-524,100/300,<20,40-44
2155009736,Alpha,N,eQuote,201903,N,IN,46705,40,2007,2008,Homeowner,N,Y,0,650-674,100/300,<20,20-24
2155101330,Zeta,N,PLRATING,201903,N,IN,47385,55,1999,2014,Auto Home,N,Y,0,700-724,50/100,20-24,70-74
2155105541,Alpha,N,eQuote,201903,N,IN,46723,94,1997,1997,Auto Home,N,N,0,875-899,500/500,85-90,85-90
2155106706,Eta,N,eQuote,201903,N,IN,46835,3,2002,2006,None,N,Y,0,775-799,100/300,30-34,35-39
2155107811,Alpha,N,eQuote,201903,N,IN,46750,57,1999,2009,Auto Home,N,Y,0,750-774,500/500,55-59,55-59
2155108109,Alpha,N,eQuote,201903,N,IN,46750,57,2009,2010,Auto Home,N,Y,0,825-849,250/500,65-69,70-74
2155109949,Eta,N,PLRATING,201903,N,IN,46723,94,2000,2014,Auto Home,N,Y,0,725-749,100/300,65-69,70-74
2155200702,Theta,N,eQuote,201903,N,IN,46765,3,2012,2012,Auto Home,N,N,0,650-674,100/300,40-44,45-49
2155200874,Delta,N,PLRATING,201903,N,IN,46737,101,1996,2006,Auto Home,N,Y,0,625-649,100/300,20-24,25-29
2155200879,Alpha,N,eQuote,201903,N,IN,46783,57,2008,2011,Auto Home,N,Y,0,875-899,250/500,60-64,60-64
2155204649,Alpha,N,eQuote,201903,N,IN,46745,3,1997,2006,Auto Home,N,Y,2,775-799,250/500,<20,50-54
2155204891,Alpha,N,eQuote,201903,N,IN,46793,40,2016,2016,None,N,N,0,825-849,250/500,65-69,65-69
2155205083,Alpha,N,eQuote,201903,N,IN,46706,40,2014,2014,None,N,N,0,550-574,100/300,50-54,50-54
2155205401,Alpha,N,eQuote,201903,N,IN,46808,3,1999,2003,Auto Home,N,Y,0,675-699,100/300,35-39,35-39
2155207949,Delta,N,PLRATING,201903,N,IN,46767,84,2004,2009,None,N,Y,0,625-649,100/300,<20,60-64
2155209331,Theta,N,eQuote,201903,N,IN,46785,40,2000,2013,Auto Home,N,Y,0,850-874,100/300,<20,45-49
2155209371,Theta,N,eQuote,201903,N,IN,46845,3,2001,2011,Auto Home,N,Y,2,700-724,100/300,20-24,50-54
2155209471,Theta,N,eQuote,201903,Y,IN,46815,3,1999,1999,Auto Home,N,N,0,900-924,100/300,80-84,85-90
2155209951,Theta,N,eQuote,201903,N,IN,46815,3,2005,2005,Auto Home,N,N,0,850-874,250/500,30-34,30-34
2155300730,Eta,N,PLRATING,201903,N,IN,46723,94,1996,2011,Auto Home,N,Y,0,875-899,100/300,55-59,55-59
2155301996,Eta,N,PLRATING,201903,N,IN,46792,57,1998,2002,Auto Home,N,Y,0,850-874,100/300,30-34,30-34
2155306862,Alpha,Y,eQuote,201903,Y,IN,46825,3,2000,2000,Auto Home,N,Y,0,No Score,100/300,<20,<20
2155307291,Eta,N,PLRATING,201903,N,IN,46723,3,2002,2005,None,N,Y,0,875-899,500 CSL,20-24,55-59
2155307557,Alpha,N,eQuote,201903,Y,IN,46761,65,2001,2001,None,N,N,0,No History,300 CSL,60-64,60-64
2155307745,Gamma,N,eQuote,201903,N,IN,46202,1,2006,2006,None,N,N,0,750-774,100/300,30-34,30-34
2155309281,Eta,N,PLRATING,201903,N,IN,46825,3,2009,2009,Auto Home,N,N,0,625-649,250/500,50-54,50-54
2155400415,Delta,N,PLRATING,201903,N,IN,46742,101,1997,2007,None,N,Y,0,725-749,50/100,30-34,NULL
2155403224,Eta,N,PLRATING,201903,N,IN,47383,41,2009,2009,None,N,N,0,675-699,100/300,20-24,20-24
2155403918,Theta,N,eQuote,201903,Y,IN,46802,3,1999,1999,Auto Home,N,Y,0,No History,100/300,20-24,20-24
2155404081,Alpha,N,eQuote,201903,N,IN,46815,3,2002,2007,Auto Home,N,Y,0,925-949,250/500,75-79,75-79
2155404981,Eta,N,PLRATING,201903,N,IN,47383,41,1999,2016,None,N,Y,0,875-899,100/300,20-24,50-54
2155405096,Theta,N,eQuote,201903,N,IN,46825,3,2004,2004,Auto Home,N,N,0,775-799,100/300,70-74,75-79
2155405681,Theta,N,eQuote,201903,N,IN,46706,40,1999,2009,Auto Home,N,Y,2,775-799,100/300,<20,50-54
2155407792,Delta,N,PLRATING,201903,N,IN,46706,40,2005,2006,Auto Home,N,Y,0,No History,100/300,55-59,65-69
2155500295,Gamma,N,eQuote,201903,N,IN,46540,65,1997,1997,Auto Home,N,Y,0,925-949,300 CSL,75-79,75-79
2155500826,Theta,N,eQuote,201903,N,IN,46743,3,2002,2002,None,N,Y,0,No Score,100/300,20-24,20-24
2155506861,Alpha,N,eQuote,201903,N,IN,46806,3,2004,2004,None,N,N,0,No History,500/500,20-24,20-24
2155508731,Theta,N,eQuote,201903,N,IN,46792,57,2012,2012,Auto Home,N,N,0,525-549,100/300,35-39,35-39
2155601255,Alpha,N,eQuote,201903,N,IN,46783,3,2008,2014,Auto Home,N,Y,2,775-799,300 CSL,30-34,30-34
2155604119,Alpha,N,eQuote,201903,N,IN,46814,3,2016,2016,None,N,N,0,850-874,100/300,30-34,30-34
2155604206,Alpha,N,eQuote,201903,N,IN,46565,65,2005,2005,None,N,N,0,850-874,500 CSL,55-59,55-59
2453705548,Iota,N,eQuote,201903,Y,IN,46040,52,2001,2001,None,N,N,1,No Score,500 CSL,<20,<20
2454402741,Epsilon,N,eQuote,201903,N,IN,46131,30,2006,2006,None,N,Y,2,850-874,100/300,<20,<20
2454606493,Gamma,N,PLRATING,201903,N,IN,47386,55,2006,2013,None,N,Y,0,875-899,250/500,65-69,75-79
2454705477,Epsilon,N,eQuote,201903,N,IN,46131,30,2005,2015,Auto Home,N,Y,2,850-874,100/300,<20,40-44
2454803648,Epsilon,N,eQuote,201903,Y,IN,46143,30,2000,2004,Auto Home,N,Y,0,775-799,250/500,20-24,60-64
2454900999,Eta,N,PLRATING,201903,Y,IN,47042,92,2000,2000,None,N,N,0,575-599,50/100,45-49,45-49
2454907023,Iota,N,eQuote,201903,N,IN,46227,95,2013,2013,Auto Home,N,N,0,600-624,300 CSL,20-24,20-24
2454907847,Gamma,N,PLRATING,201903,N,IN,47362,55,2009,2014,None,N,Y,0,650-674,250/500,25-29,25-29
2454908596,Epsilon,N,eQuote,201903,N,IN,46106,30,2007,2011,Auto Home,N,Y,0,650-674,250/500,25-29,60-64
2454908808,Gamma,N,PLRATING,201903,N,IN,47362,55,2011,2011,Auto Home,N,N,0,825-849,250/500,80-84,80-84
2454909248,Delta,N,eQuote,201903,N,IN,46112,30,2010,2014,Auto Home,N,Y,0,650-674,500/500,<20,55-59
2455002093,Gamma,N,PLRATING,201903,N,IN,47362,55,2002,2005,Auto Home,N,Y,0,675-699,250/500,30-34,30-34
2455002359,Gamma,Y,PLRATING,201903,N,IN,47385,55,2011,2011,Auto Home,N,N,0,625-649,250/500,50-54,50-54
2455005118,Gamma,N,PLRATING,201903,N,IN,47362,55,2009,2009,Auto Home,N,N,0,800-824,250/500,65-69,65-69
2455007104,Epsilon,N,eQuote,201903,N,IN,46106,30,2000,2000,Auto Home,N,N,0,650-674,100/300,50-54,50-54
2455007917,Epsilon,N,eQuote,201903,N,IN,46227,95,2013,2013,Auto Home,N,N,0,800-824,100/300,75-79,75-79
2455009507,Gamma,N,PLRATING,201903,N,IN,47362,55,2009,2009,Auto Home,N,Y,0,600-624,250/500,<20,45-49
2455009953,Iota,N,PLRATING,201903,N,IN,46218,1,2002,2002,Auto Home,N,N,0,575-599,100/300,60-64,60-64
2455105414,Gamma,N,PLRATING,201903,N,IN,46064,69,2005,2005,Auto Home,N,N,0,825-849,250/500,35-39,55-59
2455106789,Epsilon,N,eQuote,201903,N,IN,46106,30,2010,2010,Auto Home,N,Y,0,850-874,250/500,30-34,35-39
2455108208,Iota,N,eQuote,201903,Y,IN,46201,1,2000,2000,Auto Home,N,N,2,575-599,500 CSL,25-29,25-29
2455109044,Gamma,N,PLRATING,201903,N,IN,46250,95,2009,2017,Auto Home,N,Y,0,650-674,250/500,25-29,25-29
2455109187,Delta,N,eQuote,201903,Y,IN,46112,30,2012,2012,None,N,N,2,No History,100/300,<20,55-59
2455109849,Gamma,N,PLRATING,201903,N,IN,47362,55,2006,2010,None,N,Y,0,625-649,250/500,35-39,35-39
2455200124,Iota,N,eQuote,201903,N,IN,46217,95,1998,2006,Homeowner,N,Y,7,700-724,500 CSL,<20,50-54
2455200317,Delta,N,eQuote,201903,N,IN,46203,95,2001,2011,Auto Home,N,Y,0,625-649,50/100,30-34,30-34
2455200675,Iota,N,eQuote,201903,N,IN,46032,30,2004,2004,Auto Home,N,N,0,725-749,500 CSL,80-84,80-84
2455202959,Gamma,Y,PLRATING,201903,N,IN,47362,55,2013,2013,Auto Home,N,N,0,675-699,250/500,55-59,55-59
